symbol,datetime,security_id,bid_price,bid_order_qty,bid_executed_qty,ask_order_qty,ask_executed_qty
CS2503,2025-02-12 21:00:56.602000-11:00,205000008290,2562,1474,971,1128,1317
CS2503,2025-02-12 21:00:57.862000-11:00,205000008290,2562,1475,971,1129,1317
CS2503,2025-02-12 21:00:58.091000-11:00,205000008290,2562,1478,985,1145,1318
CS2503,2025-02-12 21:00:58.599000-11:00,205000008290,2562,1480,991,1147,1324
CS2503,2025-02-12 21:00:58.861000-11:00,205000008290,2562,1481,993,1149,1325
CS2503,2025-02-12 21:00:59.092000-11:00,205000008290,2562,1482,994,1151,1325
CS2503,2025-02-12 21:00:59.592000-11:00,205000008290,2562,1485,994,1154,1325
CS2503,2025-02-12 21:00:59.863000-11:00,205000008290,2562,1487,994,1156,1325
CS2503,2025-02-12 21:01:00.092000-11:00,205000008290,2562,1496,996,1167,1325
CS2503,2025-02-12 21:01:00.341000-11:00,205000008290,2562,1496,998,1169,1325
CS2503,2025-02-12 21:01:00.594000-11:00,205000008290,2562,1513,1000,1187,1326
CS2503,2025-02-12 21:01:00.863000-11:00,205000008290,2562,1515,1000,1189,1326
CS2503,2025-02-12 21:01:01.088000-11:00,205000008290,2562,1548,1028,1208,1368
CS2503,2025-02-12 21:01:01.593000-11:00,205000008290,2562,1551,1030,1209,1372
CS2503,2025-02-12 21:01:01.858000-11:00,205000008290,2562,1551,1040,1209,1382
CS2503,2025-02-12 21:01:02.095000-11:00,205000008290,2562,1551,1041,1210,1382
CS2503,2025-02-12 21:01:02.594000-11:00,205000008290,2562,1556,1041,1210,1387
CS2503,2025-02-12 21:01:02.867000-11:00,205000008290,2562,1587,1056,1246,1397
CS2503,2025-02-12 21:01:03.096000-11:00,205000008290,2562,1591,1061,1246,1406
CS2503,2025-02-12 21:01:03.371000-11:00,205000008290,2562,1595,1062,1246,1411
CS2503,2025-02-12 21:01:03.592000-11:00,205000008290,2562,1608,1064,1246,1426
CS2503,2025-02-12 21:01:03.858000-11:00,205000008290,2562,1611,1064,1246,1429
CS2503,2025-02-12 21:01:04.088000-11:00,205000008290,2562,1623,1064,1246,1441
CS2503,2025-02-12 21:01:04.366000-11:00,205000008290,2562,1626,1064,1247,1443
CS2503,2025-02-12 21:01:04.592000-11:00,205000008290,2562,1629,1065,1249,1445
CS2503,2025-02-12 21:01:04.861000-11:00,205000008290,2562,1637,1082,1272,1447
CS2503,2025-02-12 21:01:05.096000-11:00,205000008290,2562,1700,1098,1285,1513
CS2503,2025-02-12 21:01:05.600000-11:00,205000008290,2562,1725,1124,1287,1562
CS2503,2025-02-12 21:01:05.864000-11:00,205000008290,2562,1725,1125,1287,1563
CS2503,2025-02-12 21:01:06.093000-11:00,205000008290,2562,1726,1147,1301,1572
CS2503,2025-02-12 21:01:06.372000-11:00,205000008290,2562,1727,1148,1303,1572
CS2503,2025-02-12 21:01:06.594000-11:00,205000008290,2562,1729,1148,1305,1572
CS2503,2025-02-12 21:01:07.091000-11:00,205000008290,2562,1730,1148,1306,1572
CS2503,2025-02-12 21:01:07.591000-11:00,205000008290,2562,1730,1149,1307,1572
CS2503,2025-02-12 21:01:07.862000-11:00,205000008290,2562,1730,1150,1307,1573
CS2503,2025-02-12 21:01:08.093000-11:00,205000008290,2562,1735,1152,1310,1577
CS2503,2025-02-12 21:01:08.366000-11:00,205000008290,2562,1735,1153,1310,1578
CS2503,2025-02-12 21:01:08.858000-11:00,205000008290,2562,1736,1156,1310,1582
CS2503,2025-02-12 21:01:09.094000-11:00,205000008290,2562,1776,1279,1320,1735
CS2503,2025-02-12 21:01:09.369000-11:00,205000008290,2562,1776,1279,1320,1735
CS2503,2025-02-12 21:01:09.590000-11:00,205000008290,2562,1776,1279,1320,1735
CS2503,2025-02-12 21:01:10.591000-11:00,205000008290,2562,1776,1279,1320,1735
CS2503,2025-02-12 21:01:10.861000-11:00,205000008290,2562,1776,1279,1320,1735
CS2503,2025-02-12 21:01:11.100000-11:00,205000008290,2562,1776,1279,1320,1735
CS2503,2025-02-12 21:01:11.375000-11:00,205000008290,2562,1776,1279,1320,1735
CS2503,2025-02-12 21:01:11.595000-11:00,205000008290,2562,1776,1279,1320,1735
CS2503,2025-02-12 21:01:12.128000-11:00,205000008290,2562,1776,1279,1320,1735
CS2503,2025-02-12 21:01:12.373000-11:00,205000008290,2562,1776,1279,1320,1735
CS2503,2025-02-12 21:01:12.593000-11:00,205000008290,2562,1776,1279,1320,1735
CS2503,2025-02-12 21:01:12.865000-11:00,205000008290,2562,1776,1279,1320,1735
CS2503,2025-02-12 21:01:13.097000-11:00,205000008290,2562,1776,1279,1320,1735
CS2503,2025-02-12 21:01:13.370000-11:00,205000008290,2562,1776,1279,1320,1735
CS2503,2025-02-12 21:01:13.589000-11:00,205000008290,2562,1776,1279,1320,1735
CS2503,2025-02-12 21:01:13.869000-11:00,205000008290,2562,1776,1279,1320,1735
CS2503,2025-02-12 21:01:14.592000-11:00,205000008290,2562,1776,1279,1320,1735
CS2503,2025-02-12 21:01:14.863000-11:00,205000008290,2562,1776,1279,1320,1735
CS2503,2025-02-12 21:01:15.091000-11:00,205000008290,2562,1776,1279,1320,1735
CS2503,2025-02-12 21:01:15.589000-11:00,205000008290,2562,1776,1279,1320,1735
CS2503,2025-02-12 21:01:15.861000-11:00,205000008290,2562,1776,1279,1320,1735
CS2503,2025-02-12 21:01:16.089000-11:00,205000008290,2562,1776,1279,1320,1735
CS2503,2025-02-12 21:01:16.361000-11:00,205000008290,2562,1776,1279,1320,1735
CS2503,2025-02-12 21:01:16.590000-11:00,205000008290,2562,1776,1279,1320,1735
CS2503,2025-02-12 21:01:17.590000-11:00,205000008290,2562,1776,1279,1320,1735
CS2503,2025-02-12 21:01:18.090000-11:00,205000008290,2562,1776,1279,1320,1735
CS2503,2025-02-12 21:01:18.357000-11:00,205000008290,2562,1776,1279,1320,1735
CS2503,2025-02-12 21:01:18.594000-11:00,205000008290,2562,1776,1279,1320,1735
CS2503,2025-02-12 21:01:18.859000-11:00,205000008290,2562,1776,1279,1320,1735
CS2503,2025-02-12 21:01:19.092000-11:00,205000008290,2562,1776,1279,1320,1735
CS2503,2025-02-12 21:01:19.362000-11:00,205000008290,2562,1776,1279,1320,1735
CS2503,2025-02-12 21:01:19.589000-11:00,205000008290,2562,1776,1280,1321,1735
CS2503,2025-02-12 21:01:20.096000-11:00,205000008290,2562,1776,1280,1321,1735
CS2503,2025-02-12 21:01:20.361000-11:00,205000008290,2562,1776,1280,1321,1735
CS2503,2025-02-12 21:01:20.592000-11:00,205000008290,2562,1776,1282,1323,1735
CS2503,2025-02-12 21:01:20.861000-11:00,205000008290,2562,1776,1282,1323,1735
CS2503,2025-02-12 21:01:21.090000-11:00,205000008290,2562,1776,1282,1323,1735
CS2503,2025-02-12 21:01:21.358000-11:00,205000008290,2562,1781,1282,1328,1735
CS2503,2025-02-12 21:01:21.587000-11:00,205000008290,2562,1781,1282,1328,1735
CS2503,2025-02-12 21:01:21.865000-11:00,205000008290,2562,1781,1282,1328,1735
CS2503,2025-02-12 21:01:22.590000-11:00,205000008290,2562,1781,1282,1328,1735
CS2503,2025-02-12 21:01:22.861000-11:00,205000008290,2562,1781,1282,1328,1735
CS2503,2025-02-12 21:01:23.091000-11:00,205000008290,2562,1786,1282,1333,1735
CS2503,2025-02-12 21:01:23.338000-11:00,205000008290,2562,1788,1282,1335,1735
CS2503,2025-02-12 21:01:23.592000-11:00,205000008290,2562,1788,1282,1335,1735
CS2503,2025-02-12 21:01:23.861000-11:00,205000008290,2562,1789,1282,1336,1735
CS2503,2025-02-12 21:01:24.091000-11:00,205000008290,2562,1790,1282,1336,1736
CS2503,2025-02-12 21:01:24.359000-11:00,205000008290,2562,1790,1282,1336,1736
CS2503,2025-02-12 21:01:24.862000-11:00,205000008290,2562,1790,1282,1336,1736
CS2503,2025-02-12 21:01:25.090000-11:00,205000008290,2562,1790,1282,1336,1736
CS2503,2025-02-12 21:01:25.368000-11:00,205000008290,2562,1790,1282,1336,1736
CS2503,2025-02-12 21:01:25.591000-11:00,205000008290,2562,1790,1283,1336,1737
CS2503,2025-02-12 21:01:25.872000-11:00,205000008290,2562,1879,1288,1385,1782
CS2503,2025-02-12 21:01:26.596000-11:00,205000008290,2562,1880,1288,1385,1783
CS2503,2025-02-12 21:01:27.361000-11:00,205000008290,2562,1880,1289,1385,1784
CS2503,2025-02-12 21:01:27.590000-11:00,205000008290,2562,1880,1290,1386,1784
CS2503,2025-02-12 21:01:28.093000-11:00,205000008290,2562,1885,1293,1386,1792
CS2503,2025-02-12 21:01:28.864000-11:00,205000008290,2562,1909,1306,1387,1828
CS2503,2025-02-12 21:01:29.085000-11:00,205000008290,2562,1909,1306,1387,1828
CS2503,2025-02-12 21:01:29.858000-11:00,205000008290,2562,1910,1306,1387,1829
CS2503,2025-02-12 21:01:30.086000-11:00,205000008290,2562,1910,1306,1387,1829
CS2503,2025-02-12 21:01:30.588000-11:00,205000008290,2562,1915,1306,1387,1834
CS2503,2025-02-12 21:01:31.085000-11:00,205000008290,2562,1915,1306,1387,1834
CS2503,2025-02-12 21:01:31.358000-11:00,205000008290,2562,1923,1306,1387,1842
CS2503,2025-02-12 21:01:31.589000-11:00,205000008290,2562,1928,1306,1389,1845
CS2503,2025-02-12 21:01:33.088000-11:00,205000008290,2562,1929,1306,1389,1846
CS2503,2025-02-12 21:01:33.590000-11:00,205000008290,2562,1929,1306,1389,1846
CS2503,2025-02-12 21:01:33.862000-11:00,205000008290,2562,1930,1306,1389,1847
CS2503,2025-02-12 21:01:34.858000-11:00,205000008290,2562,1931,1306,1389,1848
CS2503,2025-02-12 21:01:35.087000-11:00,205000008290,2562,1931,1306,1389,1848
CS2503,2025-02-12 21:01:35.855000-11:00,205000008290,2562,2016,1306,1452,1870
CS2503,2025-02-12 21:01:36.088000-11:00,205000008290,2562,2016,1307,1453,1870
CS2503,2025-02-12 21:01:37.084000-11:00,205000008290,2562,2016,1315,1453,1878
CS2503,2025-02-12 21:01:37.582000-11:00,205000008290,2562,2016,1316,1454,1878
CS2503,2025-02-12 21:01:37.856000-11:00,205000008290,2562,2021,1316,1459,1878
CS2503,2025-02-12 21:01:38.084000-11:00,205000008290,2562,2021,1319,1460,1880
CS2503,2025-02-12 21:01:38.356000-11:00,205000008290,2562,2026,1319,1465,1880
CS2503,2025-02-12 21:01:38.866000-11:00,205000008290,2562,2027,1319,1466,1880
CS2503,2025-02-12 21:01:39.091000-11:00,205000008290,2562,2028,1319,1467,1880
CS2503,2025-02-12 21:01:39.370000-11:00,205000008290,2562,2036,1351,1495,1892
CS2503,2025-02-12 21:01:40.087000-11:00,205000008290,2562,2036,1352,1496,1892
CS2503,2025-02-12 21:01:40.361000-11:00,205000008290,2562,2041,1356,1505,1892
CS2503,2025-02-12 21:01:41.082000-11:00,205000008290,2562,2045,1356,1508,1893
